BUGID,BUG简介,BUG描述,测试拓扑,拓扑描述,分析过程,解决方案,验证解决方案,对其他模块影响,对其他产品影响,修订影响面,测试验证点,根因定位结论
1123566,【自组网3.0】【集成测试】确认后wifi配上时间需要改成连续时间,,,,,,,,,替换信息->配置信息设置,页面查看,
1123565,【自组网3.0】【集成测试】确认后wifi配上时间没有同步,,,,,,,,,替换信息->配置信息设置,页面查看,
1123564,【自组网3.0】【集成测试】清除可以需要选多个星期,,,,,,,,,替换信息->配置信息设置,页面查看,
1123560,【自组网3.0】【集成测试】开始时间必须小于结束时间,,,,,,,,,替换信息->配置信息设置,页面查看,
1123558,【自组网3.0】【集成测试】全天选择后开始结束时间要重置,,,,,,,,,替换信息->配置信息设置,页面查看,
1123557,【自组网3.0】【集成测试】时间管理星期选择不能为空,,,,,,,,,替换信息->配置信息设置,页面查看,
1123556,【自组网3.0】【集成测试】时间管理 选择时间后需要判断是否覆盖原来的时间,,,,,,,,,替换信息->配置信息设置,页面查看,
1123555,【自组网3.0】【集成测试】时间管理选择时间翻译不正确,,,,,,,,,替换信息->配置信息设置,页面查看,
1123554,【自组网3.0】【集成测试】时间管理星期翻译不正确,,,,,,,,,替换信息->配置信息设置,页面查看,
1123552,【自组网3.0】【集成测试】时间管理 wifi时间管理未显示,,,,,,,,,替换信息->配置信息设置,页面查看,
