BUGID,BUG简介,BUG描述,测试拓扑,拓扑描述,分析过程,解决方案,验证解决方案,对其他模块影响,对其他产品影响,修订影响面,测试验证点,根因定位结论
1117326,【自组网】【集成测试】黑白名单 最大支持配置512条数据。,,,,,,,,,替换信息->配置信息设置,页面查看,
1117323,【自组网】【集成测试】网络重启 定时重启，周期翻译不正确,,,,,,,,,替换信息->配置信息设置,页面查看,
1117322,【自组网】【集成测试】网络重启 定时重启，选择分后传给后端的时间时间错误,,,,,,,,,替换信息->配置信息设置,页面查看,
1117321,【自组网】【集成测试】登录密码 密码输入需要前端加密,,,,,,,,,替换信息->配置信息设置,页面查看,
1117318,【自组网】【集成测试】登录密码 新密码和确认密码应无法保存,,,,,,,,,替换信息->配置信息设置,页面查看,
1117317,【自组网】【集成测试】登录密码 新密码不包含问号、空格和中文,,,,,,,,,替换信息->配置信息设置,页面查看,
1117316,【自组网】【集成测试】登录密码 新密码不包含admin,,,,,,,,,替换信息->配置信息设置,页面查看,
1117315,【自组网】【集成测试】登录密码 新密码包含大写字母、小写字母、数字、特殊字符中的三种类型,,,,,,,,,替换信息->配置信息设置,页面查看,
1117313,【自组网】【集成测试】登录密码 新密码至少8个字符，最多31个字符,,,,,,,,,替换信息->配置信息设置,页面查看,
1117311,【自组网】【集成测试】登录密码 密码提示不需要展示,,,,,,,,,替换信息->配置信息设置,页面查看,
1117308,【自组网】【集成测试】无线限速-报文限速 限制速率表单没最终验证,,,,,,,,,替换信息->配置信息设置,页面查看,
1117301,【自组网】【集成测试】无线限速-SSID限速 列表不限速时，取消限速不可点击,,,,,,,,,替换信息->配置信息设置,页面查看,
1117298,【自组网】【集成测试】无线限速-SSID限速 列表限速单位实现不正确,,,,,,,,,替换信息->配置信息设置,页面查看,
1117297,【自组网】【集成测试】无线限速-SSID限速 跳转wifi错误,,,,,,,,,替换信息->配置信息设置,页面查看,
1117296,【自组网】【集成测试】无线限速-用户限速 终端mac输入小写字母需要转换成大写字母,,,,,,,,,替换信息->配置信息设置,页面查看,
1117295,【自组网】【集成测试】无线限速-用户限速 终端mac表单校验不正确,,,,,,,,,替换信息->配置信息设置,页面查看,
1117293,【自组网】【集成测试】无线限速-用户限速 备注显示不正确,,,,,,,,,替换信息->配置信息设置,页面查看,
1117292,【自组网】【集成测试】无线限速-用户限速 不限速时列表显示不正确,,,,,,,,,替换信息->配置信息设置,页面查看,
1117290,【自组网】【集成测试】无线限速-用户限速最大支持配置512条数据。,,,,,,,,,替换信息->配置信息设置,页面查看,
1117288,【自组网】【集成测试】射频配置最大用户数校验不正确,,,,,,,,,替换信息->配置信息设置,页面查看,
1117286,【自组网】【集成测试】射频配置5G-2多播速率选择下拉错误,,,,,,,,,替换信息->配置信息设置,页面查看,
1117285,【自组网】【集成测试】射频配置5G多播速率选择下拉错误,,,,,,,,,替换信息->配置信息设置,页面查看,
1117284,【自组网】【集成测试】射频配置5G-2频段没有显示,,,,,,,,,替换信息->配置信息设置,页面查看,
1117283,【自组网】【集成测试】射频配置5G-2频宽和2.4频宽应该是不一样,,,,,,,,,替换信息->配置信息设置,页面查看,
1117282,【自组网】【集成测试】射频配置5G频宽和2.4频宽应该是不一样,,,,,,,,,替换信息->配置信息设置,页面查看,
1117281,【自组网】【集成测试】射频配置国家码翻译错误,,,,,,,,,替换信息->配置信息设置,页面查看,
1117272,【自组网】【集成测试】wifi配置默认组中英文翻译不正确,,,,,,,,,替换信息->配置信息设置,页面查看,
1117268,【自组网】【集成测试】wifi配置列表解密类型显示与smb不一致,,,,,,,,,替换信息->配置信息设置,页面查看,
1117266,【自组网】【集成测试】wifi配置删除需要有弹窗进行确认,,,,,,,,,替换信息->配置信息设置,页面查看,
1117264,【自组网】【集成测试】wifi配置第一条wifi记录不能删除,,,,,,,,,替换信息->配置信息设置,页面查看,
1117262,【自组网】【集成测试】wifi配置缺少想要调整射频参数的跳转,,,,,,,,,替换信息->配置信息设置,页面查看,
1117261,【自组网】【集成测试】wifi配置VLAN在配置选项为其他vlan时不能为空,,,,,,,,,替换信息->配置信息设置,页面查看,
1117260,【自组网】【集成测试】wifi配置VLAN ID的范围为2-232或234-4090,,,,,,,,,替换信息->配置信息设置,页面查看,
1117259,【自组网】【集成测试】wifi配置点击重新识别无效,,,,,,,,,替换信息->配置信息设置,页面查看,
1117257,【自组网】【集成测试】wifi配置点击通用后wifi名称需清空,,,,,,,,,替换信息->配置信息设置,页面查看,
1117256,【自组网】【集成测试】wifi配置点击智能家居后关需随机生成ssid@Ruijie-iot-,,,,,,,,,替换信息->配置信息设置,页面查看,
1117255,【自组网】【集成测试】wifi配置点击访客后关需随机生成ssid@Ruijie-guest,,,,,,,,,替换信息->配置信息设置,页面查看,
1117253,【自组网】【集成测试】wifi配置点击访客后关闭竞速模式，不可选,,,,,,,,,替换信息->配置信息设置,页面查看,
1117252,【自组网】【集成测试】wifi配置点击智能家居后关闭竞速模式，不可选,,,,,,,,,替换信息->配置信息设置,页面查看,
1117250,【自组网】【集成测试】wifi配置点击访客后5g优先默认开启 不可切换,,,,,,,,,替换信息->配置信息设置,页面查看,
1117249,【自组网】【集成测试】wifi配置点击智能家居后5g优先不可选,,,,,,,,,替换信息->配置信息设置,页面查看,
1117245,【自组网】【集成测试】wifi配置点击智能家居后关闭用户隔离,,,,,,,,,替换信息->配置信息设置,页面查看,
1117243,【自组网】【集成测试】wifi配置点击访客后开启用户隔离,,,,,,,,,替换信息->配置信息设置,页面查看,
1117241,【自组网】【集成测试】wifi配置点击智能家居后wifi标准为兼容模式,,,,,,,,,替换信息->配置信息设置,页面查看,
1117240,【自组网】【集成测试】wifi配置点击访客后默认需要选择加密方式,,,,,,,,,替换信息->配置信息设置,页面查看,
1117239,【自组网】【集成测试】wifi配置点击智能家居后默认需要选择加密方式,,,,,,,,,替换信息->配置信息设置,页面查看,
1117236,【自组网】【集成测试】wifi配置5G和5G-2同时选中后要有提示不建议开启,,,,,,,,,替换信息->配置信息设置,页面查看,
1117234,【自组网】【集成测试】wifi配置点击访客后频段不可选,,,,,,,,,替换信息->配置信息设置,页面查看,
1117233,【自组网】【集成测试】wifi配置点击只能家居后频段不可选,,,,,,,,,替换信息->配置信息设置,页面查看,
1117231,【自组网】【集成测试】wifi配置wifi名称不能输入特殊字符,,,,,,,,,替换信息->配置信息设置,页面查看,
